GID_1,Pro,Value
VNM.1_1,An Giang,0
VNM.2_1,Bac Lieu,21
VNM.3_1,Bac Giang,4
VNM.4_1,Bac Kan,0
VNM.5_1,Bac Ninh,1
VNM.6_1,Ben Tre,1
VNM.7_1,Ba Ria-Vung Tau,0
VNM.8_1,Binh Dinh,0
VNM.9_1,Binh Duong,0
VNM.10_1,Binh Phuoc,0
VNM.11_1,Binh Thuan,9
VNM.12_1,Can Tho,2
VNM.13_1,Ca Mau,0
VNM.14_1,Cao Bang,0
VNM.15_1,Dak Lak,0
VNM.16_1,Dac Nong,0
VNM.17_1,Dong Nai,1
VNM.18_1,Dong Thap,5
VNM.19_1,Da Nang,6
VNM.20_1,Dien Bien,0
VNM.21_1,Gia Lai,0
VNM.22_1,Hai Duong,4
VNM.23_1,Hai Phong,0
VNM.24_1,Hau Giang,0
VNM.25_1,Ho Chi Minh,60
VNM.26_1,Ha Giang,1
VNM.27_1,Ha Noi,114
VNM.28_1,Ha Nam,4
VNM.29_1,Ha Tinh,4
VNM.30_1,Hoa Binh,0
VNM.31_1,Hung Yen,1
VNM.32_1,Khanh Hoa,1
VNM.33_1,Kien Giang,0
VNM.34_1,Kon Tum,0
VNM.35_1,Lang Son,0
VNM.36_1,Lai Chau,1
VNM.37_1,Lam Dong,0
VNM.38_1,Lao Cai,2
VNM.39_1,Long An,0
VNM.40_1,Nam Dinh,0
VNM.41_1,Nghe An,0
VNM.42_1,Ninh Binh,13
VNM.43_1,Ninh Thuan,2
VNM.44_1,Phu Tho,0
VNM.45_1,Phu Yen,0
VNM.46_1,Quang Binh,0
VNM.47_1,Quang Nam,5
VNM.48_1,Quang Ngai,0
VNM.49_1,Quang Ninh,8
VNM.50_1,Quang Tri,0
VNM.51_1,Soc Trang,0
VNM.52_1,Son La,0
VNM.53_1,Tay Ninh,4
VNM.54_1,Thua Thien Hue,2
VNM.55_1,Thai Binh,30
VNM.56_1,Thai Nguyen,1
VNM.57_1,Thanh Hoa,3
VNM.58_1,Tien Giang,0
VNM.59_1,Tra Vinh,2
VNM.60_1,Tuyen Quang,0
VNM.61_1,Vinh Long,0
VNM.62_1,Vinh Phuc,19
VNM.63_1,Yen Bai,0
